name,url,booking_type,booking_id,comments
**Stage 1: Lago di Braies - Rifugio Biella**,,,,
Rifugio Biella,https://www.planyo.com/booking.php?calendar=67368&mode=resource_list&planyo_lang=EN&feedback_url=https%3A%2F%2Fwww.planyo.com%2Fbooking.php%3Fcalendar%3D67368,planyo,,"            - [ ] For each bed type we have a separate calendar            - [ ] Restful api call to https://www.planyo.com/booking.php?"""
,,,,
,,,,
,,,,
**Stage 2: Rifugio Biella - Rifugio Fanes**,,,,
Rifugio Fanes,https://www.rifugiofanes.com/en/booking.htm,bookingsuedtirol,13308,
Alpine Guesthouse / Pederü,https://www.pederue.it/en#Y7D0a11V,bookingsuedtirol,10716,
Rifugio Sennes,https://www.sennes.com/en/,none,,
Rifugio Fodara Vedla,https://www.fodara.it/en#wrdcNbcn,bookingsuedtirol,12869,
Rifugio Lavarella,https://lavarella.it/en/book-online,bookingsuedtirol,13004,
Rifugio Giussani,https://www.rifugiogiussani.com/en/,none,,
,,,,
**Stage 3: Rifugio Fanes - Rifugio Lagazuòi**,,,,
Capanna Alpina Hut,https://www.facebook.com/profile.php?id=100057591063314,none,,
Rifugio Lagazuòi,https://rifugiolagazuoi.com/EN/disponibilita.php,staulanza,,"This is very simple. It shows an availability calendar for a month. Clicking on a cell shows a modal with the number of beds available. The divs with id ""giorno<day>"" show the number of beds available."
Rifugio Scotoni,https://scotoni.bukly.com/en-us,bulky,scotoni,
,,,,
**Stage 4: Rifugio Lagazuòi - Rifugio Nuvolau**,,,,
Rifugio Nuvolau,https://rifugionuvolau.it/language/en/sleeping/,custom,,
Rifugio Averau,https://rifugioaverau.bukly.com/,bulky,rifugioaverau,"- [ ] 15 day calendar with for each bed type the yes/no availability of a given date. - [ ] Upon closer inspection on the day itself, you get more information + number of availability. Scraping can be done in a two-tier fashion (high-level first then closer look)."
Rifugio 5 Torri,https://cortinadelicious.it/EN/s4-tipo-3-Cinque-Torri-Refuge,none,,
Rifugio Angelo Dibona,https://rifugiodibona.app/,custom,,
,,,,
,,,,
**Stage 5: Rifugio Nuvolau - Rifugio Città di Fiume**,,,,
Rifugio Città di Fiume,https://rifugiocittadifiume.it/prenota/,custom,,calendar that only shows yes/no availability - need to inquire yourself 
Rifugio Croda da Lago / Palmieri,https://www.crodadalago.it/Booking/IT/disponibilita.php,staulanza,https://www.crodadalago.it/Booking/IT/disponibilita.php,
,,,,
**Stage 6: Rifugio Città di Fiume Rifugio Al Coldai**,,,,
Rifugio Al Coldai (Sonino),https://rifugiocoldai.com/Booking/index_en.php,staulanza,https://www.rifugiocoldai.com/Booking/index_en.php,
Rifugio Passo Staulanza,https://www.staulanza.it/Booking/EN/disponibilita.php,staulanza,https://www.staulanza.it/Booking/EN/disponibilita.php,"""- [ ] https://www.staulanza.it/Booking/EN/disponibilita.php real time availability here"
,,,,
,,,,
,,,,
,,,,
**Stage 7: Rifugio Coldai - Rifugio Vazzoler Rifugio Trieste**,,,,
Rifugio Attilio Tissi,https://www.rifugiotissi.com/EN/disponibilita.php,staulanza,https://www.rifugiotissi.com/EN/disponibilita.php,
Rifugio Mario Vazzoler,https://rifugiovazzoler.com/Booking/EN/disponibilita.php,staulanza,https://rifugiovazzoler.com/Booking/EN/disponibilita.php,- https://rifugiovazzoler.com/Booking/EN/disponibilita.php high-level availability calendar. This calendar is always green because they have a non-reservable bed option always available. The modal shows the number of available dorm beds.
Rifugio Capanna Trieste,https://www.rifugiocapannatrieste.it/comearrivare.php,none,,
,,,,
**Stages 8-10**,,,,
Rifugio C. Tomé (Passo Duran),https://rifugiopassoduran.it/prenotazione/,custom,,
Rifugio Pian de Fontana,http://www.piandefontana.it/,none,,
Rifugio Sommariva Al Pramperet,https://www.rifugiosommarivaalpramperet.it/index.asp?lng=Ita,none,,
Rifugio Bruto Carestiato,https://www.rifugiocarestiato.com/wordpress/en/,none,,
Rifugio Scoiattoli,https://www.rifugioscoiattoli.it/booking/?action=invia&arrivo=21+Agosto%2C+2024&arrivo_insert=2024-08-21&partenza=22+Agosto%2C+2024&partenza_insert=2024-08-22&nadulti=3&nbambini_3_12=0&nbambini_0_2=0,custom,,
Passo Giau,https://www.passogiau.it/en/booking-request/,none,,
Rif San Sebastiano (www.passoduran.it),https://www.passoduran.it/index.htm,none,,
Malga Giau,https://www.malgagiau.it/,none,,
,https://www.rifugioaquileia.it/,none,,
,https://www.rifugiovenezia.it/,none,,
,https://secure.iperbooking.net/be/en/rifugio-palafavera-belluno/,custom,,
,https://www.rifuginrete.com/book/bianchet,none,,
,https://www.rifugiosettimoalpini.it/,none,,
